,title,link,description
0,<b>핀테크</b> 서비스의 개인정보보호 자가평가항목 개발에 관한 연구 : 간편결,http://academic.naver.com/article.naver?doc_id=176431374,(A)Study of Self-Checklist for Personal Information Protection of FinTech Service : For the Simple Payment Service <b>핀테크</b> 서비스 
1,<b>핀테크</b> 이용 동기에 따른 이용자 태도와 구전의도의 관계 - 혁신저항과 ,http://academic.naver.com/article.naver?doc_id=561622750,Effects of FIN-TECH use motivation on User Attitude and Word Of Mouth Intention: Focus on a Innovation Resistance Tendency and Type of 
2,<b>핀테크</b> 지급결제 서비스 수용 요인 연구: 혁신확산이론과 성과기대 모형,http://academic.naver.com/article.naver?doc_id=562450846,Fintech Payment Service Adoption: In the Perspective of Innovation Diffusion Theory and Performance－Expectation Model [연구목적] 
3,전자상거래 지급결제의 <b>핀테크</b> 활성화를 위한 보안 및 법제도적 과제,http://academic.naver.com/article.naver?doc_id=153940140,The legal issues on the fintech and e-commerce payment 정보통신의 발전과 금융서비스의 첨단화로 전자적 방식의 
4,<b>핀테크</b> 인터넷전문은행의 비즈니스모델에 대한 탐색,http://academic.naver.com/article.naver?doc_id=187944333,"The Study of Business Model on Fintech Internet Only Bank <b>핀테크</b> 인터넷전문은행이란 일상적인 뱅킹, 즉 금융업무"
5,<b>핀테크</b> 기업의 혁신성이 경험적 단서와 확장서비스 수용의도에 미치는 ,http://academic.naver.com/article.naver?doc_id=562914241,The effect of fintech company's innovativeness on experiential clues and extended service acceptance intention : focused on the moderat
6,<b>핀테크</b> 사용에 대한 정보프라이버시 염려와 이용자 저항에 대한 연구 : ,http://academic.naver.com/article.naver?doc_id=186122750,Fintech Users' Information Privacy Concerns and User Resistance : Investigating the Interaction Effect with Regulatory Focus 최근 금
7,<b>핀테크</b>(FinTech) 진전과 금융소비자보호 방안,http://academic.naver.com/article.naver?doc_id=562450194,FinTech Development and Financial Consumer Protection Policy 정보통신기술(ICT)의 급속한 발전과 함께 금융서비스분
8,가상화폐와 <b>핀테크</b> 산업의 발전에 따른 금융기관의 대응방향 - 일본의 ,http://academic.naver.com/article.naver?doc_id=561664737,A Financial Institution’s Response to the Development of Virtual Money and FinTech Industry focusing on the Japanese Experiences 핀
9,<b>핀테크</b> 산업에서 블록체인 도입의 한계점,http://academic.naver.com/article.naver?doc_id=561488388,"  목차
<b>핀테크</b> 산업에서 블록체인 도입의 한계점 / 이수정 ; 변혜민 ; 박유리 ; 전정훈 1
 1. 서론 1
 2. 핀"
0,<b>핀테크</b> 기술과 서비스 활성화 이슈 및 시사점 연구,http://academic.naver.com/article.naver?doc_id=289428077,A Study on FinTech Technology and Service Invigoration Issues and Implications 스마트폰 이용의 보편화와 모바일 기반의 
1,<b>핀테크</b>를 중심으로 스마트관광생태계의 공유가치창출 방안 모색: 모바,http://academic.naver.com/article.naver?doc_id=561886126,Creating Shared Value in the Smart Tourism Ecosystem Built on FinTech: Focusing on Mobile Payment Systems and Internet-only Banks 핀
2,국내 <b>핀테크</b> 산업 활성화에 관한 연구,http://academic.naver.com/article.naver?doc_id=880691884, 최근 금융(finance)과 기술(technology)의 합성어인 <b>핀테크</b>(fintech)가 관련 업계에서 주요 관심사로 떠오르
3,<b>핀테크</b> 서비스 이용자의 서비스에 대한 우려감은 <b>핀테크</b> 이용성과에 영,http://academic.naver.com/article.naver?doc_id=978428786,Does FinTech Services Concern Affect Usage Performances? : Application of Classical Attitude Theory <b>핀테크</b> 서비스 이용자들에
4,중국의 <b>핀테크</b> 금융혁신과 온라인은행의 특징,http://academic.naver.com/article.naver?doc_id=178124764,China`s FinTech Innovation and the Characteristics of Chinese Online Banks 이 논문에서는 지난 수년간 전세계에서 핀테
5,독일의 <b>핀테크</b>(Fintech)의 현상과 규제 - 대출형 크라우드(Crowdlending)에 대,http://academic.naver.com/article.naver?doc_id=235927904,Legal Issues on Crowdlending in Germany : 대출형 크라우드(Crowdlending)에 대한 법적 쟁점을 중심으로 최근에 금융
6,<b>핀테크</b>(FinTech) 산업 발전에 따른 금융권 대응방안 연구,http://academic.naver.com/article.naver?doc_id=289078390,Study on the Trend and the Plan for Reaction of FinTech Industry in Korean Finance 본 연구는 빠르게 발전하고 있는 핀테
7,<b>핀테크</b> 서비스 이용자의 서비스에 대한 우려감은 <b>핀테크</b> 이용성과에 영,http://academic.naver.com/article.naver?doc_id=982239974,Does FinTech Services Concern Affect Usage Performances? : Application of Classical Attitude Theory <b>핀테크</b> 서비스 이용자들에
8,안전한 <b>핀테크</b> 서비스를 위한 오픈플랫폼 표준화 동향,http://academic.naver.com/article.naver?doc_id=561815156, 금융권을 중심으로 <b>핀테크</b> 산업이 날로 확장 일변도로 발전을 하고 있다. <b>핀테크</b> 산업의 지속적인 성
9,<b>핀테크</b> 서비스 기술과 보안동향 분석,http://academic.naver.com/article.naver?doc_id=186131515,"  목차
<b>핀테크</b> 서비스 기술과 보안동향 분석 / 문성태 ; 김기남 1
 1. 서론 1
 2. <b>핀테크</b> 서비스 유형 1
  2."
0,<b>핀테크</b> 관련 국내법제의 현황과 과제,http://academic.naver.com/article.naver?doc_id=235927910,The status and Problems of the Acts about Fintech in Korea <b>핀테크</b>는 금융과 ICT 기술이 융합하여 기존보다 낮은 비용
1,<b>핀테크</b> 산업 동향과 주요 비즈니스 모델에 대한 연구,http://academic.naver.com/article.naver?doc_id=594100755,
2,"지급결제의 혁명: 가상화폐, <b>핀테크</b>, 블록체인그리고 옴니채널",http://academic.naver.com/article.naver?doc_id=562376830,"Revolution in payment settlement: Virtual currency, FinTech, Block Chain and Omni Channel 지금까지 금융업계에서의 경쟁은 "
3,<b>핀테크</b>(Fintech)와 정보보안,http://academic.naver.com/article.naver?doc_id=155957174,"Fintech and information secutiry  목차
<b>핀테크</b>(Fintech)와 정보보안 = Fintech and information security / 박정국 1
 1. 서론"
4,<b>핀테크</b> 혁신의 이해를 위한 유형 분류: 가치를 중심으로,http://academic.naver.com/article.naver?doc_id=599107838,The Typology for Understanding Fintech Innovation: Focusing on Value 오랜 기간 금융산업은 기술을 기반으로 성장해 왔
5,<b>핀테크</b> 서비스에서 오프라인에서 온라인으로의 신뢰전이에 관한 연구－,http://academic.naver.com/article.naver?doc_id=561526053,A Study on Trust Transfer in Traditional Fintech of Smart Banking 본 연구에서는 기존에 구축되었던 오프라인뱅킹에
6,모바일 기기 몰입수준에 따른 모바일 <b>핀테크</b> 서비스 수용의 외부영향 요,http://academic.naver.com/article.naver?doc_id=177269209,User's acceptance of mobile fintech service : Immersion of mobile device's moderating effect <b>핀테크</b>는 IT를 바탕으로 한 결제
7,과학기술규제 입법동향 분석: <b>핀테크</b> 분야를 중심으로,http://academic.naver.com/article.naver?doc_id=988143413,Analysis of legislative trends in science and technology regulation: Focusing on the fin-tech sector 본 연구는 과학기술규제
8,자본시장에서 <b>핀테크</b>(FinTech) 활용 및 법제도의 개선방안,http://academic.naver.com/article.naver?doc_id=561702754,"FinTech applied in the Capital Market and Improvement of Laws and Institutions 현재 세계는 디지털 플랫폼에 기초하여, "
9,<b>핀테크</b>산업 발전을 위한 법제 개선방안 연구,http://academic.naver.com/article.naver?doc_id=289349475,"Improving Competitiveness in Fintech Industry 제4차 산업혁명은 디지털 플랫폼에 기초하여, 물리적, 디지털, 및 "
0,<b>핀테크</b>의 사용자 특성과 제품 특성이 지속 사용의도에 미치는 영향,http://academic.naver.com/article.naver?doc_id=290053361,The Impact of Fintech User and Product Characteristics on Intention for Continuous Use 융복합 시대에 정보통신기술(ICT)을 
1,"<b>핀테크</b> 산업 규제와 스타트업 활성화 방안에 대한 탐색적 연구: 미국, 중",http://academic.naver.com/article.naver?doc_id=638279861,"An Exploratory Study on Fintech Regulations and Start-ups: Focusing on the US, China, and Korea Cases 전세계적으로 활발히 발"
2,<b>핀테크</b>와 한국의 은행 디지털화: 단계론적 접근,http://academic.naver.com/article.naver?doc_id=562451057,FinTech und Koreanische Banken in Digital Transition 은행의 디지털 전환 단계에 대한 일반론적 논의에 이어 한국
3,영국의 <b>핀테크</b>관련 법제도와 지원정책 : 지급결제산업을 중심으로,http://academic.naver.com/article.naver?doc_id=235927906,"FinTech supporting Government's Policy, its Implementing Measures and Legal Institution in UK : focused on the Payment Service Industry"
4,<b>핀테크</b> 비즈니스에서 스마트 컨트랙트의 활용과 사용자 보호에 관한 소,http://academic.naver.com/article.naver?doc_id=1005719276,A Review on the Use of Smart Contracts and User Protection in Fintech Business 현대사회의 디지털 거래는 기존의 전통적
5,"전통은행의 디지털 전환을 위한 핵심 과제 디지털 전환, 은행, <b>핀테크</b>, ",http://academic.naver.com/article.naver?doc_id=965138572,Key challenges for traditional banks’ digital transformation: Do traditional banks and fintech employees perceive customers different
6,"전통은행의 디지털 전환을 위한 핵심 과제 디지털 전환, 은행, <b>핀테크</b>, ",http://academic.naver.com/article.naver?doc_id=965138572,Key challenges for traditional banks’ digital transformation: Do traditional banks and fintech employees perceive customers different
7,중남미 <b>핀테크</b> 생태계 개관 및 변화 추세 분석,http://academic.naver.com/article.naver?doc_id=965140507,A study on the current status and the changing trends of the Latin American Fintech Ecosystem 본 연구는 생태계 모델을 이용
8,두바이 국제금융센터의 <b>핀테크</b> 산업 집적화 전략,http://academic.naver.com/article.naver?doc_id=984444754,Agglomeration Strategies of FinTech Industry in Dubai International Financial Centre 본 논문은 두바이 국제금융센터(DIFC)
9,<b>핀테크</b>의 발전 배경과 주요 동향,http://academic.naver.com/article.naver?doc_id=594672676," <b>핀테크</b>는 금융과 기술을 결합한 용어로 글로벌 ICT 기업이 폭넓은 사용자 기반을 바탕으로 송금, 결제"
0,중남미 <b>핀테크</b> 생태계 개관 및 변화 추세 분석,http://academic.naver.com/article.naver?doc_id=966484304,A study on the current status and the changing trends of the Latin American Fintech Ecosystem 본 연구는 생태계 모델을 이용
1,두바이 국제금융센터의 <b>핀테크</b> 산업 집적화 전략,http://academic.naver.com/article.naver?doc_id=984444754,Agglomeration Strategies of FinTech Industry in Dubai International Financial Centre 본 논문은 두바이 국제금융센터(DIFC)
2,국내·외 <b>핀테크</b> 서비스 및 정책 동향 분석,http://academic.naver.com/article.naver?doc_id=289436150, <b>핀테크</b>는 금융과 ICT기술을 결합한 새로운 형태의 금융서비스를 칭하는 용어로 글로벌 ICT 기업 또는 
3,"<b>핀테크</b> 이용 경험, 서비스 품질, 신뢰, 지속 이용성 의도에 대한 실증연",http://academic.naver.com/article.naver?doc_id=965205837,"An Empirical Study of Usage Experience, Service Quality, Perceived Trusts, and Sustainable Intention to Use in the Context of Fintech S"
4,<b>핀테크</b>(金融科技)의 국제정치경제: 미국과 중국의 경쟁,http://academic.naver.com/article.naver?doc_id=561760807,The International Political Economy of Fintech(金融科技): Rivalry between the United States and China 이 글은 새로운 기술
5,빅테크･<b>핀테크</b> 확산에 따른 금융안정 및 소비자보호 제고 방안,http://academic.naver.com/article.naver?doc_id=983803737,How to Improve Financial Stability and Consumer Protection Against the Increase of Big Tech and Fintech 빅테크･<b>핀테크</b>가 제공
6,최근 일본의 <b>핀테크</b>를 둘러싼 법제정비와 과제,http://academic.naver.com/article.naver?doc_id=235931470,The Current Legal System and Challenges Facing Japan's FinTech 일본에서는 IT를 활용한 혁신적인 금융서비스사업인 
7,영국의 <b>핀테크</b>(FinTech) 현황과 중소기업의 사업환경에 미치는 영향,http://academic.naver.com/article.naver?doc_id=630652189,A FinTech in the UK and its Impact on SMEs’ Business Environment 미국과 함께 세계의 <b>핀테크</b>의 중심지인 영국에서는
8,<b>핀테크</b>서비스의 보안취약점과 대응 방안 연구,http://academic.naver.com/article.naver?doc_id=562336874,Study on Countermeasures and Security Vulnerability of Fintech Services 세계 금융 산업은 2008년 서브 프라임과 금융상
9,<b>핀테크</b>와 금융서비스의 고객가치의 변화에 대한 법경제학적 분석,http://academic.naver.com/article.naver?doc_id=822107180,Legal and Economic Analysis of Changes in Customer Value of Fintech and Financial Services 우리나라에서 <b>핀테크</b>라는 말이 
0,<b>핀테크</b> 산업 보안 문제점 개선을 위한 레그테크 발전 방안 연구,http://academic.naver.com/article.naver?doc_id=998189158,A Study on the Development of RegTech to Improve Security Problems in FinTech Industry ICT 발전으로 산업계는 디지털 대전
1,<b>핀테크</b> 산업 보안 문제점 개선을 위한 레그테크 발전 방안 연구,http://academic.naver.com/article.naver?doc_id=966230360,A Study on the Development of RegTech to Improve Security Problems in FinTech Industry ICT 발전으로 산업계는 디지털 대전
2,인도의 화폐개혁과 <b>핀테크</b>의 기회,http://academic.naver.com/article.naver?doc_id=288774167,"  목차
인도의 화폐개혁과 <b>핀테크</b>의 기회 / 김태은 1
 1. 서론 1
 2. 인도의 <b>핀테크</b> 발전 및 현황 2
 3. 인"
3,영국과 중국의 <b>핀테크</b>산업 규제 법제에 관한 연구 - 인터넷전문은행과 ,http://academic.naver.com/article.naver?doc_id=561702762,A Study on Regulation of FinTech Industry in UK and China -Focused on Internet-only Bank and P2P Lending- 최근 4차 산업혁명의 
4,주요국 <b>핀테크</b> 산업 경향에 따른 활성화 방안에 관한 연구,http://academic.naver.com/article.naver?doc_id=562428650,A Study on the Activation Plan according to the Trend of FinTech Industry in Major Countries <b>핀테크</b> 산업은 전 세계적으로 
5,영국·싱가포르·EU·미국의 <b>핀테크</b> 산업 촉진을위한 대응,http://academic.naver.com/article.naver?doc_id=562387401,"A Response to promotion of FinTech industry in UK, Singapore, EU and USA 금융과 테크놀로지의 융합에 의해서 이용자에"
6,<b>핀테크</b> 서비스의 사용의도에 영향을 미치는 요인,http://academic.naver.com/article.naver?doc_id=290360529,Factors Affecting Intention to Use the Fintech Service 인터넷과 모바일의 발전은 금융서비스의 이용환경을 온라인
7,<b>핀테크</b> 서비스의 유저블 시큐리티 디자인을 위한 휴리스틱 평가 제안,http://academic.naver.com/article.naver?doc_id=966219232,"Proposal of a usable security heuristic evaluation for fintech service  목차
<b>핀테크</b> 서비스의 유저블 시큐리티 디자인"
8,해외 보험회사의 <b>핀테크</b> 활용 대책,http://academic.naver.com/article.naver?doc_id=753251837,Foreign Insurance Companies’ FinTech Utilization Measures <b>핀테크</b> 활용과 같은 금융IT가 성장의 핵심 중 하나로 자
9,<b>핀테크</b> 비즈니스 모델의 지속성에 관한 탐색적 연구 : 미국의 Charles Schwab,http://academic.naver.com/article.naver?doc_id=291019188,A Study on the Sustainability of Business Model in Fintech Market : The Case of Charles Schwab 최근 들어 국내외적으로 핀테
0,<b>핀테크</b> 분야에서 초거대 인공지능의 이해와 활용,http://academic.naver.com/article.naver?doc_id=964603248,Understanding and Applying of Hyperscale Artificial Intelligence in the Fintech 2020년 5월 오픈AI에서 GPT3를 공개한 이후 
1,<b>핀테크</b>(FinTech) 서비스의 주요 사례와 보안 이슈,http://academic.naver.com/article.naver?doc_id=594877254,
2,"<b>핀테크</b> 이용 경험, 서비스 품질, 신뢰, 지속 이용성 의도에 대한 실증연",http://academic.naver.com/article.naver?doc_id=966206528,"An Empirical Study of Usage Experience, Service Quality, Perceived Trusts, and Sustainable Intention to Use in the Context of Fintech S"
3,국내 <b>핀테크</b> 기업의 기술 환경 분석,http://academic.naver.com/article.naver?doc_id=765940239,Analysis of technical environment of domestic fintech companies <b>핀테크</b> 산업은 전세계적으로 급속도로 발전하고 있지
4,로지스틱 회귀분석을 이용한 <b>핀테크</b> 결제 서비스 수용 요인 분석,http://academic.naver.com/article.naver?doc_id=562513998,An Analysis of Factors Affecting Fintech Payment Service Acceptance Using Logistic Regression 본 연구는 혁신확산이론과 관
5,"<b>핀테크</b> 이용 경험, 서비스 품질, 신뢰, 지속 이용성 의도에 대한 실증연",http://academic.naver.com/article.naver?doc_id=966500622,"An Empirical Study of Usage Experience, Service Quality, Perceived Trusts, and Sustainable Intention to Use in the Context of Fintech S"
6,블록체인패러다임과 <b>핀테크</b> 보안,http://academic.naver.com/article.naver?doc_id=289436153, 현재 금융권에서는 <b>핀테크</b> 활성화를 위한 다양한 정책 추진과 다양한 비즈니스 모델이 창출되고 있
7,<b>핀테크</b>의 현황과 법적 과제,http://academic.naver.com/article.naver?doc_id=288798264,The Status of &quot;Fintech&quot; and Its Related Legal Problems 현재 전 세계적 트렌드는 IT와 금융의 융합으로 ICT 기술을 통
8,<b>핀테크</b> 서비스의 지각된 보안성 향상을 위한 디자인 가이드라인 연구,http://academic.naver.com/article.naver?doc_id=984438038,A Study on Design Guidelines for Improving Perceived Security of Fintech Services 연구배경 : 간편함을 핵심 가치로 빠르
9,<b>핀테크</b>의 시스템위험에 대한 기여도: CoVaR를 이용한 접근,http://academic.naver.com/article.naver?doc_id=951081287,A Study on Contribution of Fintech to Systemic Risk: An Approach using CoVaR 본 연구는 Adrian and Brunnermeier (2016)가 제안한 
0,<b>핀테크</b> 서비스의 보안 취약점과 대응방안,http://academic.naver.com/article.naver?doc_id=177347442,Countermeasure and Security Vulnerability of Fintech Services 금융과 IT의 융합을 의미하는 <b>핀테크</b>(Fintech) 열풍이 전
1,<b>핀테크</b>의 시스템위험에 대한 기여도: CoVaR를 이용한 접근,http://academic.naver.com/article.naver?doc_id=982258579,A Study on Contribution of Fintech to Systemic Risk: An Approach using CoVaR 본 연구는 Adrian and Brunnermeier (2016)가 제안한 
2,<b>핀테크</b>의 시스템위험에 대한 기여도: CoVaR를 이용한 접근,http://academic.naver.com/article.naver?doc_id=951081287,A Study on Contribution of Fintech to Systemic Risk: An Approach using CoVaR 본 연구는 Adrian and Brunnermeier (2016)가 제안한 
3,ICT시대의 <b>핀테크</b> 규제에 관한 고찰-최근 일본의 금융규제의 동향을 중심,http://academic.naver.com/article.naver?doc_id=187671269,A Study on FinTech Regulations in the ICT Age-Focused on the current trends in Japan’s financial regulations- This study aims to exam
4,<b>핀테크</b> 서비스의 UX 라이팅 유형이 사용자 만족감에 미치는 영향: 격식체,http://academic.naver.com/article.naver?doc_id=964879029,UX Writing Style in Fintech Services Effect on User‘s Satisfaction with Using Formality in Korean and Financial Jargon 현재 핀테
5,<b>핀테크</b> 서비스의 UX 라이팅 유형이 사용자 만족감에 미치는 영향: 격식체,http://academic.naver.com/article.naver?doc_id=1001527554,UX Writing Style in Fintech Services Effect on User‘s Satisfaction with Using Formality in Korean and Financial Jargon 현재 핀테
6,<b>핀테크</b> 서비스와 프라이버시 염려에 관한 연구,http://academic.naver.com/article.naver?doc_id=955408449,A Study on Fintech Services and Privacy Concerns 본 연구는 <b>핀테크</b> 서비스 이용 활성화에 가장 큰 장애요인으로 
7,소상공인의 <b>핀테크</b> 활용에 관한 탐색적 연구,http://academic.naver.com/article.naver?doc_id=562451178,An Exploratory Study on the Practical Use of FinTech by Small Business 본 연구는 <b>핀테크</b>에 대한 소상공인의 인식수준
8,<b>핀테크</b> 관련 금융사고의 법적책임 연구,http://academic.naver.com/article.naver?doc_id=643881606,A study on the legal liability of FinTech-related financial accidents 세계적으로 <b>핀테크</b>가 확대되는 배경의 하나가 이
9,<b>핀테크</b> 기반의 간편결제 서비스 지속적 사용의도에 대한 요인 연구,http://academic.naver.com/article.naver?doc_id=561520341,The factors of continuous use for mobile payment service under the concept of Fintech Purpose The purpose of this study is to analyze t
0,글로발 금융위기 이후의 금융혁신 : <b>핀테크</b>(Fintech)를 중심으로,http://academic.naver.com/article.naver?doc_id=128444970,"  목차
글로발 금융위기 이후의 금융혁신 : <b>핀테크</b>(Fintech)를 중심으로 / 하성근 1
 1. 머리말 1
 2. 글로발"
1,고령층의 스마트 기기 활용능력에 따른 <b>핀테크</b> 이용에 관한 연구,http://academic.naver.com/article.naver?doc_id=951081682,The Effect of Smart Device Utilization Skills on the Elderly's Fintech Usage 금융과 기술을 결합한 <b>핀테크</b>는 경제활동의
2,<b>핀테크</b> 지급결제 서비스 수용 저항요인 연구 : 혁신저항이론과 현상유지,http://academic.naver.com/article.naver?doc_id=561664790,The Study of User Resistance to Fintech Payment Service: In the Perspective of Innovation Diffusion And Status Quo Bias Theory Purpose 
3,<b>핀테크</b> 활성화를 위한 사용환경특성과 지속사용의도,http://academic.naver.com/article.naver?doc_id=561473999,A Study on the Environment Characteristics and Continuous Usage Intention for Improvement of Fintech Purpose The development of the Fin
4,보수적인 금융권에 부는 <b>핀테크</b> 바람 : Germany,http://academic.naver.com/article.naver?doc_id=650740399,"  목차
보수적인 금융권에 부는 <b>핀테크</b> 바람 : Germany / 안현섭 1
 영역 확장하는 <b>핀테크</b> 산업 1
 금융 혁"
5,고령층의 스마트 기기 활용능력에 따른 <b>핀테크</b> 이용에 관한 연구,http://academic.naver.com/article.naver?doc_id=951081682,The Effect of Smart Device Utilization Skills on the Elderly's Fintech Usage 금융과 기술을 결합한 <b>핀테크</b>는 경제활동의
6,<b>핀테크</b> 비즈니스에서 스마트 컨트랙트의 활용과 사용자 보호에 관한 소,http://academic.naver.com/article.naver?doc_id=1003540106,A Review on the Use of Smart Contracts and User Protection in Fintech Business 현대사회의 디지털 거래는 기존의 전통적
7,<b>핀테크</b> 비즈니스에서 스마트 컨트랙트의 활용과 사용자 보호에 관한 소,http://academic.naver.com/article.naver?doc_id=1003540106,A Review on the Use of Smart Contracts and User Protection in Fintech Business 현대사회의 디지털 거래는 기존의 전통적
8,텍스트마이닝을 활용한 <b>핀테크</b> 및 디지털 금융 서비스 트렌드 분석,http://academic.naver.com/article.naver?doc_id=964427286,"Trend analysis of fintech and digital financial services using text mining  목차
텍스트마이닝을 활용한 <b>핀테크</b> 및 디지"
9,<b>핀테크</b> 등장이 은행 및 저축은행 산업에 미치는 영향 분석,http://academic.naver.com/article.naver?doc_id=922515583,An Analysis of the Effects of Fintech on the Banking and Savings Banking Industries in Korea 글로벌 금융위기 이후 전 세계
0,베트남 <b>핀테크</b>시장의 성장과 시사점,http://academic.naver.com/article.naver?doc_id=608090134,"  목차
베트남 <b>핀테크</b>시장의 성장과 시사점 / 정선인 1
 요약 1
 1. 베트남 <b>핀테크</b>산업의 성장 가능성 2
 "
1,금융플랫폼 구축을 위한 <b>핀테크</b> 기술 및 탑재 콘텐츠에 관한 연구: 우체,http://academic.naver.com/article.naver?doc_id=597569435,A Study on Fin-Tech and Embedded Contents for Building Financial Platform: Case of Korea Post 본 연구는 4차 산업혁명으로 금
2,<b>핀테크</b> 산업 보안 문제점 개선을 위한 레그테크 발전 방안 연구,http://academic.naver.com/article.naver?doc_id=1001989572,A Study on the Development of RegTech to Improve Security Problems in FinTech Industry ICT 발전으로 산업계는 디지털 대전
3,모바일 <b>핀테크</b> 서비스의 게이미피케이션 사용자 경험 연구 -MZ세대 선호 ,http://academic.naver.com/article.naver?doc_id=940264687,A Study on the User Experience of Gamification in Mobile Fintech Service -Focusing on the Preferred Services by Generation MZ- 본 연
4,모바일 <b>핀테크</b> 서비스의 게이미피케이션 사용자 경험 연구 -MZ세대 선호 ,http://academic.naver.com/article.naver?doc_id=940264687,A Study on the User Experience of Gamification in Mobile Fintech Service -Focusing on the Preferred Services by Generation MZ- 본 연
